seq_id	class	Organism	Kingdom	Sequence_length	SP cleavage	N-term transmembrane	hydro_max	hydro_mean	charge_max	charge_mean	alpha_max	alpha_mean	trans_max	trans_mean	size_max	size_mean	comp_G	comp_A	comp_V	comp_L	comp_I	comp_M	comp_F	comp_W	comp_Y	comp_S	comp_T	comp_C	comp_N	comp_Q	comp_H	comp_D	comp_E	comp_K	comp_R	Prediction
A0A075TRA9	0	Penicillium expansum	Fungi	546		True	3.7600000000000002	0.028444444444444435	0.2	0.06666666666666667	1.3559999999999999	0.999511111111111	1.354	-0.35568888888888883	20.854000000000003	14.455533333333333	0.0	0.045454545454545456	0.09090909090909091	0.045454545454545456	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.22727272727272727	0.045454545454545456	0.0	0.0	0.045454545454545456	0.0	0.13636363636363635	0.13636363636363635	0.0	0.045454545454545456	1
A0A075TRB3	0	Penicillium expansum	Fungi	259		False	2.2800000000000002	-0.14377777777777778	0.4	0.11777777777777776	1.3519999999999999	1.0076444444444443	0.9480000000000001	-0.3347777777777778	21.174	14.029066666666669	0.2727272727272727	0.045454545454545456	0.09090909090909091	0.13636363636363635	0.045454545454545456	0.09090909090909091	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.045454545454545456	0.045454545454545456	1
A0A075TRC0	0	Penicillium expansum	Fungi	1776		False	2.8	-0.7444444444444445	0.6	0.11111111111111113	1.3060000000000003	0.945822222222222	0.914	-0.6246444444444443	19.288	13.532911111111114	0.09090909090909091	0.09090909090909091	0.045454545454545456	0.0	0.0	0.045454545454545456	0.0	0.0	0.045454545454545456	0.22727272727272727	0.13636363636363635	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	1
A0A075TXZ1	0	Penicillium expansum	Fungi	324		False	2.2	-0.36777777777777787	0.6	0.1288888888888889	1.378	0.9927777777777779	0.8800000000000001	-0.4988222222222222	19.552	14.051044444444445	0.0	0.18181818181818182	0.045454545454545456	0.045454545454545456	0.045454545454545456	0.09090909090909091	0.045454545454545456	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.045454545454545456	0.13636363636363635	0.09090909090909091	0.0	0.045454545454545456	0.09090909090909091	1
A0A0N7KIY3	0	Oryza sativa subsp. japonica	Viridiplantae	352		False	2.34	-0.30288888888888893	0.6	0.06222222222222223	1.3259999999999998	0.9416	1.088	-0.4889111111111111	20.009999999999998	12.810355555555558	0.0	0.09090909090909091	0.0	0.22727272727272727	0.0	0.045454545454545456	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.045454545454545456	0.13636363636363635	0.0	0.045454545454545456	0.0	0.0	1
A0A0U2UYC4	0	Mycosarcoma maydis	Fungi	493		False	3.22	-0.09333333333333334	0.4	0.08888888888888889	1.396	1.006888888888889	1.202	-0.33719999999999994	18.224	13.513955555555555	0.0	0.22727272727272727	0.0	0.09090909090909091	0.0	0.045454545454545456	0.0	0.0	0.0	0.13636363636363635	0.09090909090909091	0.0	0.09090909090909091	0.0	0.0	0.045454545454545456	0.045454545454545456	0.045454545454545456	0.045454545454545456	1
A0A0U2X0E4	0	Mycosarcoma maydis	Fungi	443		False	2.7800000000000002	0.024888888888888863	0.2	0.08444444444444445	1.268	0.963911111111111	1.326	-0.28259999999999996	18.496000000000002	13.78571111111111	0.09090909090909091	0.09090909090909091	0.0	0.13636363636363635	0.09090909090909091	0.045454545454545456	0.045454545454545456	0.0	0.09090909090909091	0.045454545454545456	0.13636363636363635	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.0	0.0	0.09090909090909091	0
A0A120KVW2	0	Trypanosoma brucei brucei	Other	1136		False	2.16	-0.356	0.4	0.12444444444444444	1.292	1.0402222222222224	0.932	-0.449088888888889	18.444	14.666533333333334	0.0	0.13636363636363635	0.09090909090909091	0.09090909090909091	0.0	0.045454545454545456	0.0	0.045454545454545456	0.0	0.13636363636363635	0.0	0.0	0.045454545454545456	0.09090909090909091	0.0	0.0	0.045454545454545456	0.09090909090909091	0.13636363636363635	1
A0A1S4BDC4	0	Nicotiana tabacum	Viridiplantae	790		False	3.3	-0.32533333333333336	0.6	0.09777777777777777	1.3199999999999998	0.9549555555555553	1.13	-0.4324666666666666	18.012	13.781466666666669	0.0	0.13636363636363635	0.045454545454545456	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.2727272727272727	0.18181818181818182	0.045454545454545456	0.0	0.045454545454545456	0.0	0.0	0.0	0.09090909090909091	0.0	1
A0A1S6EK92	1	Moringa oleifera	Viridiplantae	79	20		3.62	0.0792405063291139	0.2	0.06075949367088609	1.202	0.8752405063291138	1.324	-0.2390632911392405	19.845999999999997	11.481848101265824	0.0	0.18181818181818182	0.045454545454545456	0.2727272727272727	0.0	0.045454545454545456	0.09090909090909091	0.0	0.0	0.09090909090909091	0.09090909090909091	0.045454545454545456	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.045454545454545456	0.0	1
